# * INTENSITY STEADY STATE * 
#
# file generated by ** ns_ISS.H ** 
#
# ------------- 
# ome (eV)	Ome	|p1|²	|p2|²	|p3|²	N
#
  1.8     	0          	0          	0          	0          	1          	0          
  1.8018  	0          	0          	0          	0          	1          	0          
  1.8036  	0          	0          	0          	0          	1          	0          
  1.8054  	0          	0          	0          	0          	1          	0          
  1.8072  	0          	0          	0          	0          	1          	0          
  1.809   	0          	0          	0          	0          	1          	0          
  1.8108  	0          	0          	0          	0          	1          	0          
  1.8126  	0          	0          	0          	0          	1          	0          
  1.8144  	0          	0          	0          	0          	1          	0          
  1.8162  	0          	0          	0          	0          	1          	0          
  1.818   	0          	0          	0          	0          	1          	0          
  1.8198  	0          	0          	0          	0          	1          	0          
  1.8216  	0          	0          	0          	0          	1          	0          
  1.8234  	0          	0          	0          	0          	1          	0          
  1.8252  	0          	0          	0          	0          	1          	0          
  1.827   	0          	0          	0          	0          	1          	0          
  1.8288  	0          	0          	0          	0          	1          	0          
  1.8306  	0          	0          	0          	0          	1          	0          
  1.8324  	0          	0          	0          	0          	1          	0          
  1.8342  	0          	0          	0          	0          	1          	0          
  1.836   	0          	0          	0          	0          	1          	0          
  1.8378  	0          	0          	0          	0          	1          	0          
  1.8396  	0          	0          	0          	0          	1          	0          
  1.8414  	0          	0          	0          	0          	1          	0          
  1.8432  	0          	0          	0          	0          	1          	0          
  1.845   	0          	0          	0          	0          	1          	0          
  1.8468  	0          	0          	0          	0          	1          	0          
  1.8486  	0          	0          	0          	0          	1          	0          
  1.8504  	0          	0          	0          	0          	1          	0          
  1.8522  	0          	0          	0          	0          	1          	0          
  1.854   	0          	0          	0          	0          	1          	0          
  1.8558  	0          	0          	0          	0          	1          	0          
  1.8576  	0          	0          	0          	0          	1          	0          
  1.8594  	0          	0          	0          	0          	1          	0          
  1.8612  	0          	0          	0          	0          	1          	0          
  1.863   	0          	0          	0          	0          	1          	0          
  1.8648  	0          	0          	0          	0          	1          	0          
  1.8666  	0          	0          	0          	0          	1          	0          
  1.8684  	0          	0          	0          	0          	1          	0          
  1.8702  	0          	0          	0          	0          	1          	0          
  1.872   	0          	0          	0          	0          	1          	0          
  1.8738  	0          	0          	0          	0          	1          	0          
  1.8756  	0          	0          	0          	0          	1          	0          
  1.8774  	0          	0          	0          	0          	1          	0          
  1.8792  	0          	0          	0          	0          	1          	0          
  1.881   	0          	0          	0          	0          	1          	0          
  1.8828  	0          	0          	0          	0          	1          	0          
  1.8846  	0          	0          	0          	0          	1          	0          
  1.8864  	0          	0          	0          	0          	1          	0          
  1.8882  	0          	0          	0          	0          	1          	0          
  1.89    	0          	0          	0          	0          	1          	0          
  1.8918  	0          	0          	0          	0          	1          	0          
  1.8936  	0          	0          	0          	0          	1          	0          
